Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,"R4,R3",D_0402_1005Metric,2,27,
2,"R2,R1",D_0402_1005Metric,2,5.1k,
3,"J2,J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
4,"C15,C16",C_0402_1005Metric,2,33pF,
5,"C5,C11,C9,C7,C8,C2,C4,C12,C3,C6",C_0402_1005Metric,10,+0.1uF,
6,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
7,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
8,"C1,C10",C_0402_1005Metric,2,+1uF,
9,"R6,R5",D_0402_1005Metric,2,1k,
10,R7,D_0402_1005Metric,1,10k,
11,SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
12,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
13,C17,C_0402_1005Metric,1,0.1uF,
14,J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
15,U3,SOT-23,1,MCP1700x-330xxTT,
16,U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVSS,
17,"C14,C13",C_0402_1005Metric,2,10uF,
